Index,Year,Month,Day
0,2020,8,11
1,2020,8,11
2,2020,8,11
3,2020,8,11
4,2020,8,14
5,2020,8,14
6,2020,8,18
7,2020,8,18
8,2020,8,18
9,2020,8,19
10,2020,8,19
11,2020,8,19
12,2020,8,19
13,2020,8,20
14,2020,8,20
15,2020,8,20
16,2020,8,20
17,2020,8,21
18,2021,1,19
19,2021,1,19
20,2021,1,19
21,2021,2,9
22,2021,2,23
23,2021,2,25
24,2021,2,25
25,2021,3,4
26,2021,3,4
27,2021,3,4
28,2021,3,5
29,2021,3,5
30,2021,3,5
31,2021,3,5
32,2021,3,5
33,2021,3,5
34,2021,3,5
35,2021,3,5
36,2021,3,7
37,2021,3,7
38,2021,3,7
39,2021,3,7
40,2021,3,7
41,2021,3,8
42,2021,3,8
43,2021,3,8
44,2021,3,8
45,2021,3,8
46,2021,3,8
47,2021,3,8
48,2021,3,9
49,2021,3,9
50,2021,3,9
51,2021,3,9
52,2021,3,9
53,2021,3,9
54,2021,3,9
55,2021,3,10
56,2021,3,10
57,2021,3,10
58,2021,3,10
59,2021,3,10
60,2021,3,10
61,2021,3,10
62,2021,3,10
63,2021,3,10
64,2021,3,10
65,2021,3,10
66,2021,3,10
67,2021,3,11
68,2021,3,11
69,2021,3,11
70,2021,3,11
71,2021,3,11
72,2021,3,11
73,2021,3,11
74,2021,3,11
75,2021,3,11
76,2021,3,12
77,2021,3,12
78,2021,3,13
79,2021,3,13
80,2021,3,13
81,2021,3,13
82,2021,3,13
83,2021,3,13
84,2021,3,13
85,2021,3,13
86,2021,3,14
87,2021,3,14
88,2021,3,14
89,2021,3,14
90,2021,3,14
91,2021,3,14
92,2021,3,15
93,2021,3,14
94,2021,3,15
95,2021,3,15
96,2021,3,15
97,2021,3,15
98,2021,3,16
99,2021,3,16
100,2021,3,16
101,2021,3,16
102,2021,3,16
103,2021,3,16
104,2021,3,17
105,2021,3,17
106,2021,3,17
107,2021,3,17
108,2021,3,17
109,2021,3,17
110,2021,3,17
111,2021,3,17
112,2021,3,18
113,2021,3,18
114,2021,3,18
115,2021,3,18
116,2021,3,18
117,2021,3,18
118,2021,3,18
119,2021,3,18
120,2021,3,18
121,2021,3,19
122,2021,3,19
123,2021,3,19
124,2021,3,19
125,2021,3,19
126,2021,3,19
127,2021,3,20
128,2021,3,21
129,2021,3,21
130,2021,3,21
131,2021,3,21
132,2021,3,22
133,2021,3,22
134,2021,3,22
135,2021,3,22
136,2021,3,22
137,2021,3,23
138,2021,3,23
139,2021,3,24
140,2021,3,24
141,2021,3,24
142,2021,3,24
143,2021,3,24
144,2021,3,25
145,2021,3,25
146,2021,3,25
147,2021,3,28
148,2021,3,28
149,2021,3,29
150,2021,3,29
151,2021,3,29
152,2021,3,29
153,2021,3,29
154,2021,3,29
155,2021,3,29
156,2021,3,30
157,2021,3,30
158,2021,3,30
159,2021,3,31
160,2021,3,31
161,2021,4,1
162,2021,4,1
163,2021,4,1
164,2021,4,1
165,2021,4,1
166,2021,4,1
167,2021,4,2
168,2021,4,2
169,2021,4,2
170,2021,4,3
171,2021,4,4
172,2021,4,4
173,2021,4,4
174,2021,4,4
175,2021,4,4
176,2021,4,4
177,2021,4,4
178,2021,4,4
179,2021,4,4
180,2021,4,4
181,2021,4,4
182,2021,4,4
183,2021,4,4
184,2021,4,4
185,2021,4,5
186,2021,4,5
187,2021,4,5
188,2021,4,6
189,2021,4,6
190,2021,4,6
191,2021,4,7
192,2021,4,7
193,2021,4,7
194,2021,4,7
195,2021,4,7
196,2021,4,8
197,2021,4,8
198,2021,4,11
199,2021,4,11
200,2021,4,11
201,2021,4,12
202,2021,4,12
203,2021,4,12
204,2021,4,12
205,2021,4,13
206,2021,4,13
207,2021,4,13
208,2021,4,14
209,2021,4,14
210,2021,4,14
211,2021,4,14
212,2021,4,14
213,2021,4,14
214,2021,4,14
215,2021,4,14
216,2021,4,14
217,2021,4,15
218,2021,4,15
219,2021,4,15
220,2021,4,15
221,2021,4,15
222,2021,4,21
223,2021,4,25
224,2021,4,25
225,2021,9,13
226,2021,9,20
227,2021,9,20
228,2021,9,20
229,2021,9,20
230,2021,11,9
231,2021,11,9
232,2021,11,10
233,2021,11,10
234,2021,11,10
235,2021,11,10
236,2021,11,10
237,2021,11,10
238,2021,11,10
239,2021,11,10
240,2021,11,10
241,2021,11,10
242,2021,11,11
243,2021,11,11
244,2021,11,11
245,2021,11,11
246,2021,11,15
247,2021,11,15
248,2021,11,15
249,2021,11,18
250,2021,11,18
251,2021,11,18
252,2021,11,18
253,2021,11,18
254,2021,11,18
255,2021,11,19
256,2021,11,21
257,2021,11,21
258,2021,11,21
259,2021,11,21
260,2021,11,22
261,2021,11,22
262,2021,11,23
263,2021,11,23
264,2021,11,23
265,2021,11,23
266,2021,11,23
267,2021,11,23
268,2021,11,23
269,2021,11,24
270,2021,11,24
271,2021,11,29
272,2021,11,29
273,2021,11,29
274,2021,12,5
275,2021,12,5
276,2021,12,7
277,2021,12,8
278,2021,12,8
279,2021,12,8
280,2021,12,9
281,2021,12,9
282,2021,12,9
283,2021,12,9
284,2021,12,9
285,2021,12,9
286,2021,12,9
287,2021,12,9
288,2021,12,9
289,2021,12,12
290,2021,12,12
291,2021,12,12
292,2021,12,13
293,2021,12,14
294,2021,12,14
295,2021,12,14
296,2021,12,14
297,2021,12,14
298,2021,12,15
299,2021,12,15
300,2021,12,15
301,2021,12,15
302,2021,12,30
303,2021,12,30
304,2021,12,30
305,2022,1,2
306,2022,1,2
307,2022,1,2
308,2022,1,3
309,2022,1,3
310,2022,1,3
311,2022,1,4
312,2022,1,4
313,2022,1,4
314,2022,1,5
315,2022,1,5
316,2022,1,6
317,2022,1,6
318,2022,1,6
319,2022,1,7
320,2022,1,7
321,2022,1,7
322,2022,1,8
323,2022,1,30
324,2022,1,30
325,2022,1,30
326,2022,2,1
327,2022,2,2
328,2022,2,3
329,2022,2,3
330,2022,2,6
331,2022,2,6
332,2022,2,6
333,2022,2,7
334,2022,2,7
335,2022,2,7
336,2022,2,8
337,2022,2,8
338,2022,2,8
339,2022,2,9
340,2022,2,9
341,2022,2,9
342,2022,2,9
343,2022,2,11
344,2022,2,11
345,2022,2,11
346,2022,2,11
347,2022,2,11
348,2022,2,11
349,2022,2,12
350,2022,2,12
351,2022,2,12
352,2022,2,12
353,2022,2,12
354,2022,2,12
355,2022,2,12
356,2022,2,12
357,2022,2,13
358,2022,2,15
359,2022,2,15
360,2022,2,15
361,2022,2,15
362,2022,2,17
363,2022,2,18
364,2022,2,20
365,2022,2,20
366,2022,2,20
367,2022,2,21
368,2022,2,22
369,2022,2,22
370,2022,2,22
371,2022,2,23
372,2022,2,23
373,2022,2,23
374,2022,2,23
375,2022,2,23
376,2022,2,23
377,2022,2,23
378,2022,2,23
379,2022,2,23
380,2022,2,23
381,2022,2,23
382,2022,2,23
383,2022,2,24
384,2022,2,24
385,2022,2,24
386,2022,2,24
387,2022,2,24
388,2022,2,24
389,2022,2,24
390,2022,2,25
391,2022,2,28
392,2022,2,28
393,2022,2,28
394,2022,3,1
395,2022,3,1
396,2022,3,1
397,2022,3,1
398,2022,3,1
399,2022,3,1
400,2022,3,1
401,2022,3,1
402,2022,3,2
403,2022,3,2
404,2022,3,2
405,2022,3,3
406,2022,3,3
407,2022,3,3
408,2022,3,3
409,2022,3,4
410,2022,3,4
411,2022,3,4
412,2022,3,6
413,2022,3,6
414,2022,3,6
415,2022,3,7
416,2022,3,7
417,2022,3,7
418,2022,3,7
419,2022,3,7
420,2022,3,7
421,2022,3,8
422,2022,3,8
423,2022,3,8
424,2022,3,8
425,2022,3,8
426,2022,3,8
427,2022,3,8
428,2022,3,8
429,2022,3,8
430,2022,3,9
431,2022,3,9
432,2022,3,9
433,2022,3,9
434,2022,3,9
435,2022,3,10
436,2022,3,10
437,2022,3,10
438,2022,3,10
439,2022,3,10
440,2022,3,10
441,2022,3,10
442,2022,3,11
443,2022,3,11
444,2022,3,11
445,2022,3,11
446,2022,3,11
447,2022,3,11
448,2022,3,11
449,2022,3,12
450,2022,3,14
451,2022,3,14
452,2022,3,14
453,2022,3,14
454,2022,3,15
455,2022,3,15
456,2022,3,15
457,2022,3,15
458,2022,3,15
459,2022,3,16
460,2022,3,16
461,2022,3,16
462,2022,3,16
463,2022,3,16
464,2022,3,17
465,2022,3,17
466,2022,3,17
467,2022,3,17
468,2022,3,17
469,2022,3,18
470,2022,3,18
