Index,Gamemode
0,cp
1,cp
2,cp
3,cp
4,cp
5,cp
6,cp
7,cp
8,cp
9,cp
10,cp
11,cp
12,cp
13,cp
14,cp
15,cp
16,cp
17,cp
18,cp
19,cp
20,cp
21,cp
22,cp
23,cp
24,cp
25,cp
26,cp
27,cp
28,cp
29,cp
30,cp
31,cp
32,koth
33,cp
34,cp
35,cp
36,cp
37,cp
38,cp
39,cp
40,koth
41,cp
42,cp
43,cp
44,cp
45,cp
46,cp
47,cp
48,cp
49,koth
50,koth
51,cp
52,cp
53,cp
54,cp
55,cp
56,cp
57,cp
58,koth
59,cp
60,cp
61,cp
62,koth
63,cp
64,cp
65,cp
66,cp
67,cp
68,cp
69,cp
70,koth
71,cp
72,cp
73,cp
74,cp
75,cp
76,cp
77,koth
78,cp
79,cp
80,cp
81,cp
82,cp
83,cp
84,koth
85,cp
86,cp
87,cp
88,cp
89,cp
90,koth
91,cp
92,cp
93,cp
94,cp
95,cp
96,cp
97,cp
98,cp
99,cp
100,koth
101,cp
102,cp
103,cp
104,cp
105,cp
106,cp
107,koth
108,cp
109,koth
110,cp
111,cp
112,cp
113,cp
114,cp
115,cp
116,cp
117,cp
118,cp
119,cp
120,cp
121,cp
122,cp
123,koth
124,cp
125,cp
126,cp
127,cp
128,koth
129,cp
130,koth
131,cp
132,cp
133,cp
134,koth
135,cp
136,koth
137,cp
138,koth
139,cp
140,koth
141,koth
142,cp
143,koth
144,cp
145,koth
146,cp
147,cp
148,cp
149,cp
150,cp
151,cp
152,cp
153,koth
154,cp
155,cp
156,koth
157,cp
158,koth
159,cp
160,cp
161,cp
162,cp
163,cp
164,cp
165,cp
166,cp
167,cp
168,cp
169,cp
170,cp
171,cp
172,cp
173,cp
174,cp
175,cp
176,cp
177,cp
178,cp
179,cp
180,cp
181,cp
182,cp
183,koth
184,koth
185,koth
186,koth
187,koth
188,cp
189,koth
190,koth
191,cp
192,cp
193,koth
194,cp
195,cp
196,koth
197,koth
198,cp
199,koth
200,koth
201,cp
202,cp
203,koth
204,koth
205,cp
206,koth
207,koth
208,cp
209,cp
210,koth
211,cp
212,koth
213,cp
214,koth
215,koth
216,koth
217,cp
218,cp
219,cp
220,koth
221,koth
222,cp
223,cp
224,cp
225,cp
226,cp
227,cp
228,cp
229,cp
230,cp
231,cp
232,cp
233,cp
234,cp
235,cp
236,cp
237,cp
238,cp
239,cp
240,cp
241,cp
242,cp
243,cp
244,cp
245,cp
246,cp
247,cp
248,cp
249,koth
250,cp
251,cp
252,cp
253,koth
254,koth
255,cp
256,cp
257,cp
258,cp
259,cp
260,koth
261,koth
262,cp
263,cp
264,cp
265,cp
266,cp
267,cp
268,cp
269,cp
270,cp
271,koth
272,koth
273,cp
274,cp
275,koth
276,cp
277,koth
278,cp
279,cp
280,cp
281,koth
282,koth
283,koth
284,cp
285,cp
286,cp
287,koth
288,cp
289,cp
290,cp
291,cp
292,cp
293,cp
294,cp
295,cp
296,cp
297,cp
298,cp
299,cp
300,cp
301,cp
302,cp
303,cp
304,cp
305,cp
306,cp
307,cp
308,cp
309,cp
310,cp
311,cp
312,cp
313,cp
314,cp
315,cp
316,cp
317,cp
318,cp
319,cp
320,cp
321,koth
322,cp
323,cp
324,cp
325,cp
326,cp
327,cp
328,cp
329,cp
330,cp
331,cp
332,cp
333,cp
334,koth
335,cp
336,cp
337,cp
338,cp
339,cp
340,cp
341,cp
342,cp
343,cp
344,cp
345,cp
346,cp
347,cp
348,cp
349,cp
350,cp
351,cp
352,cp
353,cp
354,cp
355,koth
356,koth
357,cp
358,cp
359,cp
360,cp
361,cp
362,cp
363,cp
364,koth
365,koth
366,koth
367,koth
368,koth
369,koth
370,koth
371,cp
372,cp
373,cp
374,cp
375,cp
376,koth
377,koth
378,cp
379,koth
380,koth
381,cp
382,cp
383,cp
384,koth
385,koth
386,cp
387,koth
388,koth
389,cp
390,cp
391,cp
392,cp
393,cp
394,cp
395,cp
396,cp
397,cp
398,cp
399,cp
400,cp
401,cp
402,cp
403,cp
404,cp
405,cp
406,cp
407,cp
408,cp
409,cp
410,cp
411,cp
412,cp
413,cp
414,cp
415,cp
416,koth
417,cp
418,cp
419,cp
420,cp
421,cp
422,cp
423,cp
424,cp
425,cp
426,cp
427,cp
428,cp
429,cp
430,cp
431,cp
432,cp
433,cp
434,cp
435,cp
436,cp
437,cp
438,cp
439,cp
440,cp
441,cp
442,cp
443,cp
444,cp
445,cp
446,cp
447,cp
448,cp
449,cp
450,koth
451,koth
452,cp
453,cp
454,koth
455,koth
456,cp
457,koth
458,koth
459,cp
460,koth
461,koth
462,cp
463,cp
464,cp
465,koth
466,koth
467,koth
468,koth
469,koth
470,koth
471,cp
472,cp
473,cp
474,cp
475,cp
476,cp
477,cp
478,cp
479,cp
480,cp
481,cp
482,cp
483,cp
484,cp
485,cp
486,cp
487,cp
488,cp
489,cp
490,cp
491,cp
492,cp
