Index,Map
0,cp_sunshine
1,cp_metalworks
2,cp_metalworks
3,cp_gullywash
4,cp_process
5,cp_metalworks
6,cp_process
7,cp_snakewater
8,cp_metalworks
9,cp_gullywash
10,cp_sunshine
11,cp_snakewater
12,cp_gullywash
13,cp_process
14,cp_process
15,cp_snakewater
16,cp_gullywash
17,cp_sunshine
18,cp_process
19,cp_snakewater
20,cp_metalworks
21,cp_process
22,cp_sunshine
23,cp_snakewater
24,cp_sunshine
25,cp_metalworks
26,cp_gullywash
27,cp_metalworks
28,cp_sunshine
29,cp_process
30,cp_gullywash
31,cp_sunshine
32,koth_product
33,cp_metalworks
34,cp_sunshine
35,cp_gullywash
36,cp_snakewater
37,cp_gullywash
38,cp_metalworks
39,cp_gullywash
40,koth_product
41,cp_sunshine
42,cp_snakewater
43,cp_gullywash
44,cp_process
45,cp_snakewater
46,cp_process
47,cp_process
48,cp_sunshine
49,koth_bagel
50,koth_product
51,cp_snakewater
52,cp_process
53,cp_process
54,cp_metalworks
55,cp_snakewater
56,cp_sunshine
57,cp_sunshine
58,koth_product
59,cp_gullywash
60,cp_process
61,cp_snakewater
62,koth_clearcut
63,cp_metalworks
64,cp_metalworks
65,cp_process
66,cp_process
67,cp_process
68,cp_snakewater
69,cp_sunshine
70,koth_bagel
71,cp_gullywash
72,cp_metalworks
73,cp_process
74,cp_metalworks
75,cp_metalworks
76,cp_metalworks
77,koth_bagel
78,cp_snakewater
79,cp_process
80,cp_gullywash
81,cp_process
82,cp_sunshine
83,cp_snakewater
84,koth_bagel
85,cp_sunshine
86,cp_snakewater
87,cp_metalworks
88,cp_sunshine
89,cp_gullywash
90,koth_bagel
91,cp_sunshine
92,cp_sunshine
93,cp_process
94,cp_process
95,cp_sunshine
96,cp_process
97,cp_process
98,cp_process
99,cp_gullywash
100,koth_product
101,cp_snakewater
102,cp_sunshine
103,cp_sunshine
104,cp_gullywash
105,cp_sunshine
106,cp_metalworks
107,koth_product
108,cp_villa
109,koth_bagel
110,cp_metalworks
111,cp_metalworks
112,cp_metalworks
113,cp_sunshine
114,cp_gullywash
115,cp_process
116,cp_process
117,cp_process
118,cp_sunshine
119,cp_process
120,cp_process
121,cp_process
122,cp_sunshine
123,koth_clearcut
124,cp_gullywash
125,cp_badlands
126,cp_granary
127,cp_metalworks
128,koth_bagel
129,cp_snakewater
130,koth_bagel
131,cp_snakewater
132,cp_snakewater
133,cp_metalworks
134,koth_product
135,cp_gullywash
136,koth_clearcut
137,cp_process
138,koth_bagel
139,cp_snakewater
140,koth_product
141,koth_bagel
142,cp_gullywash
143,koth_clearcut
144,cp_snakewater
145,koth_product
146,cp_process
147,cp_process
148,cp_snakewater
149,cp_snakewater
150,cp_sunshine
151,cp_process
152,cp_snakewater
153,koth_bagel
154,cp_sunshine
155,cp_sunshine
156,koth_product
157,cp_sunshine
158,koth_bagel
159,cp_sunshine
160,cp_snakewater
161,cp_process
162,cp_process
163,cp_snakewater
164,cp_process
165,cp_process
166,cp_process
167,cp_snakewater
168,cp_snakewater
169,cp_snakewater
170,cp_process
171,cp_sunshine
172,cp_sunshine
173,cp_sunshine
174,cp_sunshine
175,cp_sunshine
176,cp_metalworks
177,cp_process
178,cp_process
179,cp_process
180,cp_process
181,cp_process
182,cp_process
183,koth_bagel
184,koth_bagel
185,koth_bagel
186,koth_bagel
187,koth_bagel
188,cp_process
189,koth_bagel
190,koth_bagel
191,cp_process
192,cp_process
193,koth_bagel
194,cp_villa
195,cp_process
196,koth_bagel
197,koth_bagel
198,cp_process
199,koth_clearcut
200,koth_bagel
201,cp_process
202,cp_process
203,koth_product
204,koth_bagel
205,cp_process
206,koth_bagel
207,koth_product
208,cp_snakewater
209,cp_process
210,koth_product
