Index,Red Score,Blu Score
0,5,0
1,1,0
2,5,0
3,5,1
4,2,2
5,4,4
6,1,5
7,2,2
8,0,2
9,1,5
10,0,5
11,0,4
12,1,5
13,2,4
14,2,4
15,5,0
16,3,2
17,0,5
18,3,3
19,5,2
20,3,1
21,1,5
22,0,5
23,5,0
24,0,5
25,4,0
26,2,3
27,1,0
28,5,1
29,1,2
30,1,4
31,2,5
32,3,0
33,3,1
34,2,1
35,0,5
36,5,2
37,1,5
38,5,0
39,5,0
40,2,0
41,3,2
42,5,2
43,5,2
44,1,4
45,1,5
46,3,1
47,2,0
48,4,2
49,0,3
50,3,2
51,4,1
52,1,4
53,1,5
54,2,5
55,2,2
56,3,4
57,0,5
58,3,1
59,4,1
60,4,1
61,1,1
62,3,0
63,0,3
64,0,2
65,3,1
66,2,0
67,5,1
68,5,2
69,5,2
70,3,1
71,2,1
72,0,5
73,0,5
74,3,2
75,2,0
76,1,3
77,4,3
78,2,2
79,2,2
80,2,2
81,0,5
82,4,1
83,1,5
84,1,3
85,5,3
86,2,4
87,4,2
88,4,5
89,4,1
90,2,0
91,2,3
92,0,2
93,2,2
94,1,5
95,0,5
96,3,0
97,2,0
98,1,5
99,5,2
100,0,3
101,2,3
102,1,2
103,1,1
104,1,3
105,0,4
106,2,2
107,3,0
108,5,1
109,0,1
110,3,0
111,2,0
112,5,0
113,1,4
114,5,0
115,5,1
116,2,5
117,0,1
118,3,2
119,1,3
120,2,0
121,4,4
122,5,2
123,0,3
124,2,3
125,4,2
126,2,3
127,4,2
128,2,3
129,3,1
130,2,1
131,2,3
132,2,2
133,5,1
134,0,3
135,1,5
136,0,3
137,1,5
138,3,1
139,2,5
140,2,3
141,0,3
142,3,3
143,1,3
144,5,1
145,1,4
146,0,5
147,2,1
148,3,2
149,5,1
150,5,1
151,3,4
152,0,5
153,4,0
154,1,0
155,5,0
156,2,0
157,0,5
158,0,2
159,3,3
160,5,1
161,5,0
162,2,0
163,1,2
164,0,3
165,0,2
166,0,5
167,0,3
168,1,2
169,1,5
170,3,2
171,0,1
172,0,2
173,1,2
174,1,3
175,1,3
176,0,5
177,1,1
178,2,1
179,3,1
180,3,2
181,3,3
182,3,3
183,1,0
184,1,1
185,2,1
186,2,2
187,3,2
188,1,5
189,0,3
190,0,3
191,3,2
192,1,5
193,4,0
194,5,0
195,0,5
196,0,4
197,0,2
198,0,4
199,1,4
200,0,4
201,0,5
202,1,5
203,0,3
204,0,3
205,5,0
206,3,1
207,3,0
208,4,1
209,2,2
210,0,2
211,0,5
212,1,2
213,5,2
214,2,0
215,2,0
216,4,0
217,2,1
218,0,2
219,3,3
220,0,2
221,0,4
222,2,4
223,1,3
224,0,5
225,5,0
226,3,0
227,1,0
228,2,0
229,5,0
230,2,1
231,4,3
232,1,0
233,2,0
234,3,0
235,3,0
236,5,0
237,0,1
238,5,1
239,1,0
240,2,0
241,3,0
242,1,3
243,0,1
244,2,3
245,2,5
246,5,0
247,1,5
248,2,2
249,0,3
250,1,4
251,4,2
252,3,2
253,3,1
254,4,0
255,3,1
256,5,0
257,0,5
258,5,0
259,5,1
260,2,3
261,2,1
262,4,2
263,5,0
264,5,0
265,1,1
266,2,0
267,3,1
268,2,1
269,5,0
270,5,2
271,0,2
272,2,0
273,0,1
274,1,2
275,3,2
276,0,3
277,0,4
278,2,1
279,2,3
280,2,2
281,1,2
282,2,0
283,1,0
284,3,0
285,4,5
286,1,2
287,4,2
288,4,2
289,0,2
290,5,1
291,2,5
292,4,0
293,5,1
294,2,0
295,3,2
296,4,5
297,3,0
298,2,1
299,3,2
300,2,0
301,5,2
302,2,1
303,2,2
304,2,1
305,0,3
306,2,1
307,1,2
308,3,2
309,2,3
310,0,4
311,5,1
312,2,5
313,4,5
314,2,1
315,0,2
316,0,3
317,1,5
318,2,3
319,5,0
320,5,0
321,3,2
322,2,0
323,0,2
324,1,2
325,0,2
326,5,0
327,2,5
328,0,3
329,0,2
330,5,0
331,5,0
332,3,0
333,2,0
334,1,2
335,2,2
336,1,3
337,3,5
338,2,5
339,0,5
340,2,2
341,3,0
342,2,0
343,2,5
344,1,0
345,5,0
346,5,0
347,5,0
348,3,2
349,0,5
350,5,0
351,1,2
352,5,0
353,2,1
354,0,5
355,0,2
356,1,2
357,3,4
358,0,3
359,1,1
360,3,0
361,1,4
362,2,1
363,3,1
364,2,3
365,3,2
366,3,1
367,1,2
368,1,2
369,2,3
370,0,3
371,3,3
372,1,5
373,5,1
374,2,2
375,3,4
376,0,3
377,0,3
378,0,5
379,0,3
380,0,2
381,0,5
382,3,3
383,1,5
384,3,0
385,3,2
386,2,5
387,2,0
388,2,0
389,4,2
390,2,4
391,5,1
392,5,1
393,5,0
394,0,3
395,1,5
396,4,1
397,3,5
398,5,0
399,4,2
400,0,3
401,0,2
402,5,4
403,2,4
404,2,3
405,2,2
406,4,5
407,2,5
408,2,5
409,5,1
410,1,5
411,1,4
412,0,1
413,2,1
414,3,3
415,1,4
416,0,4
417,3,0
418,5,1
419,5,1
420,5,0
421,2,2
422,1,5
423,2,3
424,5,4
425,2,5
426,5,0
427,5,0
428,5,2
429,2,1
430,1,1
431,4,2
432,4,1
433,4,2
434,5,2
435,1,5
436,3,0
437,0,3
438,0,2
439,2,2
440,4,0
441,2,2
442,0,1
443,4,5
444,1,5
445,2,5
446,5,4
447,3,4
448,4,3
449,3,5
450,0,3
451,2,3
452,0,3
453,2,2
454,0,3
455,0,3
456,2,3
457,2,0
458,2,1
459,5,1
460,3,0
461,3,0
462,5,4
463,1,4
464,2,3
465,3,0
466,3,2
467,0,2
468,2,0
469,2,0
470,4,2
471,0,3
472,2,5
473,5,2
474,0,5
475,0,5
476,0,2
477,2,2
478,1,3
479,0,5
480,2,2
481,3,3
482,1,3
483,2,1
484,1,5
485,3,4
486,5,0
487,0,3
488,2,5
489,0,5
490,0,2
491,1,3
492,2,0
493,2,0
494,3,0
495,2,4
496,4,2
497,1,5
498,3,1
499,1,2
500,3,1
501,1,2
502,4,4
503,3,4
504,0,5
505,3,2
506,3,0
507,3,2
508,5,2
509,5,1
510,3,1
511,3,2
512,2,3
513,2,2
514,4,2
515,1,4
516,2,5
517,5,2
518,3,2
519,2,5
520,5,1
521,3,1
522,1,0
523,1,1
524,1,5
525,0,5
526,4,2
527,2,3
528,1,5
529,5,3
530,5,3
531,1,2
532,3,0
533,2,0
534,4,1
535,4,3
536,2,1
537,1,1
538,1,0
539,3,1
540,2,0
541,3,0
542,2,1
543,1,4
544,4,3
545,0,5
546,3,3
547,2,3
548,2,4
549,5,0
550,4,1
551,1,5
552,0,5
553,3,1
554,2,1
555,4,0
556,3,3
557,1,3
558,3,1
559,2,3
560,3,2
561,2,0
562,0,4
563,3,0
564,3,0
565,2,0
566,2,4
567,1,2
568,3,2
569,1,1
570,1,2
571,2,0
572,1,0
573,5,0
574,1,5
