Index,Weekday
0,Tuesday
1,Tuesday
2,Tuesday
3,Tuesday
4,Friday
5,Friday
6,Tuesday
7,Tuesday
8,Tuesday
9,Wednesday
10,Wednesday
11,Wednesday
12,Wednesday
13,Thursday
14,Thursday
15,Thursday
16,Thursday
17,Friday
18,Tuesday
19,Tuesday
20,Tuesday
21,Tuesday
22,Tuesday
23,Thursday
24,Thursday
25,Thursday
26,Thursday
27,Thursday
28,Friday
29,Friday
30,Friday
31,Friday
32,Friday
33,Friday
34,Friday
35,Friday
36,Sunday
37,Sunday
38,Sunday
39,Sunday
40,Sunday
41,Monday
42,Monday
43,Monday
44,Monday
45,Monday
46,Monday
47,Monday
48,Tuesday
49,Tuesday
50,Tuesday
51,Tuesday
52,Tuesday
53,Tuesday
54,Tuesday
55,Wednesday
56,Wednesday
57,Wednesday
58,Wednesday
59,Wednesday
60,Wednesday
61,Wednesday
62,Wednesday
63,Wednesday
64,Wednesday
65,Wednesday
66,Wednesday
67,Thursday
68,Thursday
69,Thursday
70,Thursday
71,Thursday
72,Thursday
73,Thursday
74,Thursday
75,Thursday
76,Friday
77,Friday
78,Saturday
79,Saturday
80,Saturday
81,Saturday
82,Saturday
83,Saturday
84,Saturday
85,Saturday
86,Sunday
87,Sunday
88,Sunday
89,Sunday
90,Sunday
91,Sunday
92,Monday
93,Sunday
94,Monday
95,Monday
96,Monday
97,Monday
98,Tuesday
99,Tuesday
100,Tuesday
101,Tuesday
102,Tuesday
103,Tuesday
104,Wednesday
105,Wednesday
106,Wednesday
107,Wednesday
108,Wednesday
109,Wednesday
110,Wednesday
111,Wednesday
112,Thursday
113,Thursday
114,Thursday
115,Thursday
116,Thursday
117,Thursday
118,Thursday
119,Thursday
120,Thursday
121,Friday
122,Friday
123,Friday
124,Friday
125,Friday
126,Friday
127,Saturday
128,Sunday
129,Sunday
130,Sunday
131,Sunday
132,Monday
133,Monday
134,Monday
135,Monday
136,Monday
137,Tuesday
138,Tuesday
139,Wednesday
140,Wednesday
141,Wednesday
142,Wednesday
143,Wednesday
144,Thursday
145,Thursday
146,Thursday
147,Sunday
148,Sunday
149,Monday
150,Monday
151,Monday
152,Monday
153,Monday
154,Monday
155,Monday
156,Tuesday
157,Tuesday
158,Tuesday
159,Wednesday
160,Wednesday
161,Thursday
162,Thursday
163,Thursday
164,Thursday
165,Thursday
166,Thursday
167,Friday
168,Friday
169,Friday
170,Saturday
171,Sunday
172,Sunday
173,Sunday
174,Sunday
175,Sunday
176,Sunday
177,Sunday
178,Sunday
179,Sunday
180,Sunday
181,Sunday
182,Sunday
183,Sunday
184,Sunday
185,Monday
186,Monday
187,Monday
188,Tuesday
189,Tuesday
190,Tuesday
191,Wednesday
192,Wednesday
193,Wednesday
194,Wednesday
195,Wednesday
196,Thursday
197,Thursday
198,Sunday
199,Sunday
200,Sunday
201,Monday
202,Monday
203,Monday
204,Monday
205,Tuesday
206,Tuesday
207,Tuesday
208,Wednesday
209,Wednesday
210,Wednesday
211,Wednesday
212,Wednesday
213,Wednesday
214,Wednesday
215,Wednesday
216,Wednesday
217,Thursday
218,Thursday
219,Thursday
220,Thursday
221,Thursday
222,Wednesday
223,Sunday
224,Sunday
225,Monday
226,Monday
227,Monday
228,Monday
229,Monday
230,Tuesday
231,Tuesday
232,Wednesday
233,Wednesday
234,Wednesday
235,Wednesday
236,Wednesday
237,Wednesday
238,Wednesday
239,Wednesday
240,Wednesday
241,Wednesday
242,Thursday
243,Thursday
244,Thursday
245,Thursday
246,Monday
247,Monday
248,Monday
249,Thursday
250,Thursday
251,Thursday
252,Thursday
253,Thursday
254,Thursday
255,Friday
256,Sunday
257,Sunday
258,Sunday
259,Sunday
260,Monday
261,Monday
262,Tuesday
263,Tuesday
264,Tuesday
265,Tuesday
266,Tuesday
267,Tuesday
268,Tuesday
269,Wednesday
270,Wednesday
271,Monday
272,Monday
273,Monday
274,Sunday
275,Sunday
276,Tuesday
277,Wednesday
278,Wednesday
279,Wednesday
280,Thursday
281,Thursday
282,Thursday
283,Thursday
284,Thursday
285,Thursday
286,Thursday
287,Thursday
288,Thursday
289,Sunday
290,Sunday
291,Sunday
292,Monday
293,Tuesday
294,Tuesday
295,Tuesday
296,Tuesday
297,Tuesday
298,Wednesday
299,Wednesday
300,Wednesday
301,Wednesday
302,Thursday
303,Thursday
304,Thursday
305,Sunday
306,Sunday
307,Sunday
308,Monday
309,Monday
310,Monday
311,Tuesday
312,Tuesday
313,Tuesday
314,Wednesday
315,Wednesday
316,Thursday
317,Thursday
318,Thursday
319,Friday
320,Friday
321,Friday
322,Saturday
323,Sunday
324,Sunday
325,Sunday
326,Tuesday
327,Wednesday
328,Thursday
329,Thursday
330,Sunday
331,Sunday
332,Sunday
333,Monday
334,Monday
335,Monday
336,Tuesday
337,Tuesday
338,Tuesday
339,Wednesday
340,Wednesday
341,Wednesday
342,Wednesday
343,Friday
344,Friday
345,Friday
346,Friday
347,Friday
348,Friday
349,Saturday
350,Saturday
351,Saturday
352,Saturday
353,Saturday
354,Saturday
355,Saturday
356,Saturday
357,Sunday
358,Tuesday
359,Tuesday
360,Tuesday
361,Tuesday
362,Thursday
363,Friday
364,Sunday
365,Sunday
366,Sunday
367,Monday
368,Tuesday
369,Tuesday
370,Tuesday
371,Wednesday
372,Wednesday
373,Wednesday
374,Wednesday
375,Wednesday
376,Wednesday
377,Wednesday
378,Wednesday
379,Wednesday
380,Wednesday
381,Wednesday
382,Wednesday
383,Thursday
384,Thursday
385,Thursday
386,Thursday
387,Thursday
388,Thursday
389,Thursday
390,Friday
391,Monday
392,Monday
393,Monday
394,Tuesday
395,Tuesday
396,Tuesday
397,Tuesday
398,Tuesday
399,Tuesday
400,Tuesday
401,Tuesday
402,Wednesday
403,Wednesday
404,Wednesday
405,Thursday
406,Thursday
407,Thursday
408,Thursday
409,Friday
410,Friday
411,Friday
412,Sunday
413,Sunday
414,Sunday
415,Monday
416,Monday
417,Monday
418,Monday
419,Monday
420,Monday
421,Tuesday
422,Tuesday
423,Tuesday
424,Tuesday
425,Tuesday
426,Tuesday
427,Tuesday
428,Tuesday
429,Tuesday
430,Wednesday
431,Wednesday
432,Wednesday
433,Wednesday
434,Wednesday
435,Thursday
436,Thursday
437,Thursday
438,Thursday
439,Thursday
440,Thursday
441,Thursday
442,Friday
443,Friday
444,Friday
445,Friday
446,Friday
447,Friday
448,Friday
449,Saturday
450,Monday
451,Monday
452,Monday
453,Monday
454,Tuesday
455,Tuesday
456,Tuesday
457,Tuesday
